100,53730,52796,46658,40952,36318,31966,32828,31754,30116,29282
90,12719814,11995528,11984196,11863538,12341728,12357768,12252762,14633781,12297060,11858142
80,33964594,33141704,34363637,33624066,34655292,34142798,33822262,35539152,33674280,33219898
70,68008922,75702574,67661416,66276100,66585058,66038580,66984672,69882220,66513454,66637054
60,110324474,112135658,110084554,111015116,109047322,118330426,136302001,149564785,131070928,124331906
50,167868318,168014752,166750688,168404428,164269520,166110392,163946724,164571958,166062808,171995498
40,231421058,232883746,233390772,231022548,232828930,242970969,260176398,240586198,237092434,228394008
30,308539666,307267118,314492072,308896618,306741658,314053850,307732808,307004050,313286805,309175948
20,397495172,400554132,397662398,396196008,394857996,398869268,397337622,400654018,395263818,393766066

writeBackAll = 0
