100,33600,33648,47144,31972,32110,32930,83498,34450,30688,29452
90,6778258,7261328,6496906,6286568,6733504,6524100,6553116,6878550,7273574,7202944
80,27152875,24217562,24018952,23547046,24325650,24207442,31103869,24965294,24145054,24963290
70,53179192,51593172,52431662,55293678,64509539,60365264,57212342,58186040,57162878,53164196
60,100697542,101066664,98662320,99692654,100421852,102206972,101985424,145033247,144466226,136534399
50,226186288,168132040,175473323,169459398,172358232,179504684,159803312,180769408,176847176,185843390
40,270889607,244574837,233423484,270177056,254512403,246849782,252838816,240493021,251731422,258077762
30,333363536,339198656,348820122,375924290,487884538,411926788,324942166,310539822,307141006,331872938
20,440073252,433240840,380010096,413159054,430316416,427703198,414189272,392074888,387307852,409201934
10,470580582,487281570,467804860,445111616,453728024,450668182,467629439,445481286,453621576,518248591

writeBackAll = 0
