100,34080,33706,33464,33952,36600,34164,33912,34032,35258,36496,34364,34584,34602,39190,37896,37936,34302,35404,33666,33790,33770,34396,33554,34844,38774,38576,34518,34476,32626,33068,35270,32534,34236,33398,31994,34494,36190,36026,34440,34426,32662,33424,34194,32476,31988,32226,32610,33156,35680,41176,32310,32586,30970,32382,31656,33088,33730,31672,32824,32332
90,2728827,2691843,2223490,2476086,1967776,2588150,2617992,2552703,2555554,2045515,1748096,1752362,2000102,2093792,2266980,2320660,2059632,1984242,2093322,2072114,1796798,2069490,2204860,2205594,2189570,2339830,2015766,1918036,2031862,2001532,2325242,1856714,2173148,1676064,1747866,1764752,1974716,2238602,1844374,1868602,2090318,1877976,1966458,1799364,1930712,1973616,2140412,1914732,1977540,2018530,2243139,1668826,1816216,1672884,2046190,1728772,1815604,1737444,2034082,1839970
80,6573444,6610990,6826638,6731732,6886842,7151970,6943288,6913626,6983434,6607088,6415526,7092364,7263498,6939316,6668393,7211664,7148146,6552342,6916050,6900444,6715646,7025464,8003975,7660330,6482994,6918618,6948537,7004200,6944946,6625553,6427199,6995142,6874966,7350086,6912910,6890274,6889940,7040924,7005642,7059674,6506826,7117313,7237022,6909366,6936126,7115874,6365712,6435436,6680258,19775110,7167656,6499400,6936724,7003371,7277304,6617982,6786714,6810326,6650714,6913242
70,14578855,15700976,14985062,14624512,14780988,14678245,14519884,14388442,15029666,14580655,14807616,15013776,15065150,15158190,15356815,14660974,14639604,15086680,15019280,14810266,14817504,14687480,14732228,15321456,14806408,15709224,14995378,15264618,15195106,15305048,15250194,14677961,15059900,15428570,15380428,14981362,15133440,15084933,15121514,15529472,15237948,14926078,15441432,15201512,15115728,15999162,15196629,14598102,15197958,14989090,14754816,14708466,14802985,14393420,14358590,15025888,14822635,15068712,15171297,14805572
60,25881872,25796856,25443754,25352364,26483928,25742178,25271752,25974535,25535986,25897358,26018125,26682282,26056656,27312488,26736882,26531217,26654042,27041392,27222748,26547962,26744964,26945244,26268478,26714742,26822456,26895791,26178822,26579426,26385299,26138801,26061534,26208382,26125638,26715729,26941452,26563682,26747328,27159906,27049856,27346988,26531924,26403365,26427982,26674382,26307288,26802280,26813720,26470484,26520114,27026086,26186138,26530544,25902903,26251682,26799102,26730636,27235272,26901096,26381430,26282251
50,40456130,40937278,40084400,40689446,40323288,40469392,40816380,40892562,40233754,40818374,40655236,42148972,40835236,40769784,41009448,41507116,40793362,41216588,40386320,40736180,40402862,40825714,40697524,40349864,40248730,41190956,40939104,40579330,44052114,40838638,40462628,40806994,40577299,40798486,40071170,41022320,41279870,41453764,41541550,41068398,40826196,40723162,40768878,40566620,40573612,40864025,40708044,41005610,40329295,40632100,40298508,40655644,40714156,41243924,40571272,40651260,40398828,40791250,40499890,40255488
40,58197620,58280854,58216742,58180222,58369142,58736090,58192528,58146514,58196948,59197340,58818616,58965670,57913034,58008432,58272741,57954937,58458694,59939172,57860568,57887317,57969186,58425192,59354892,59419704,59027668,59315358,59803452,59352566,59776260,59373076,58833758,59532674,59137452,59771324,59397972,59828492,58890112,58973132,58722896,59194600,58726440,59177874,58765790,58836688,59252498,58924352,58371306,59735132,59469578,59854666,59191278,59104156,58533064,59031588,59620156,67826610,59324262,59317442,58696568,59059898
30,79920866,79985360,79929972,79728002,79995026,79827170,79090704,79339400,79836316,80836352,79814604,79723618,79519710,80206960,79923336,79494494,80283178,79532620,81019234,80758962,80465270,80242762,79886792,80526540,80091452,80420430,79994732,80087914,79855628,80108189,80859922,80604543,80373460,80249486,80753374,81102054,79943094,81710088,81065450,80068731,81489362,81668398,79867136,80156276,79894977,80374230,79953148,80141862,80234094,80751262,80456328,80344564,79840426,80898650,81507282,80627268,80207717,80270588,79543392,79922306
20,104284176,104829604,105010468,104702302,104411189,105460206,105446582,105716334,105280413,105302606,104675102,102837592,103532538,102996178,104298244,104356708,102796042,103459758,102027908,104062666,105265464,106650218,104740806,103868512,103360134,104627536,102484810,102304944,102800044,102670910,104141518,103634264,106257343,106733376,103853248,103725664,103707764,104105662,104046104,104113158,104174016,106112896,105817837,105235452,105171480,106331700,106037326,106155780,104273694,104069474,103594250,103450000,103634330,104648030,105587468,103593054,103650740,107087262,106004030,107253242
10,133033690,132488576,131361692,131178448,131449220,131575092,132921478,133355150,134007564,133933376,131949210,133026406,134291170,132316654,132124900,132288380,132565082,132601030,160086208,132080862,131224060,132250916,146801438,130886294,131525310,136849050,132152486,133455222,133961390,136386702,135830396,133159708,132230656,132398670,133505154,134994454,132678494,136113752,133405922,133271254,134713028,135444530,133968602,132355010,134339730,134194314,133604664,134581130,133500696,133056334,131869294,134127252,134879188,135079488,136259094,140204218,134744300,132727148,134292310,133940068
