100,72514,73784,71734,69178,71464,70466,78534,66598,64460,95252,66394,66926,64754,62974,66410,65420,65646,64772,63618,68494,126828,64380,63432,67242,64894,65692,64072,64474,65376,65508,63384,103946,65448,63320,63482,68990,64678,64898,65808,63444,64038,65612,62742,66428,63394,77170,65876,64206,66082,64208,63422,64060,65038,65026,66608,64196,64744,64168,63774,65306
90,113424272,117651478,113508148,112815430,113193550,112598706,113027452,113162915,111907064,112525844,111168412,113622002,112004474,112491054,145641310,131221081,126670956,117373404,118339106,112805604,112843464,114532024,139408959,131390674,115012492,115908304,112354364,113306538,116273038,113543470,114164215,113653109,112661605,112592910,112257471,117859535,113379469,113546004,115175912,113264680,113732044,113367929,112353154,113389284,111883542,115855421,114490960,116560952,115896388,112429024,112830738,113127124,113713386,118307050,113678658,113318822,113125807,115253348,113395023,113289622
80,208099979,207418633,203852431,206080122,205439140,203725204,207675584,204144982,207639963,208065496,206900870,208889977,205660396,206609144,207002603,206310410,211934886,206194066,207368815,205221816,205207976,205139626,203664764,204999254,205436320,204257382,209264798,204826928,212187187,206655754,205989212,207522954,209002558,206790814,207557310,205977352,209774532,208629708,206480794,206602124,207239546,208006028,207627626,206308514,206438100,207672318,212887724,209739612,207857768,207370566,207929046,207335990,206944188,215477343,203093642,206391034,209889842,205208787,209681732,219411562
70,290711847,285916090,285360734,286626002,289673318,288749463,286965338,288769764,287555712,287479434,289461126,294477892,290103720,288236434,289939308,291567364,289081382,288733060,287986172,293262622,289305528,289582296,299213058,290722812,293657204,288260573,293070210,286002202,287885070,287342334,287556068,285433990,288327622,290820835,289135229,290674350,297139209,289358616,290277004,289155124,290989804,292673124,290289404,289984250,289336598,291894154,289853002,289228980,292490258,291649766,289528266,289663432,289031714,289586814,290764000,295501863,291900166,288816098,286174184,285976812
60,359348480,359531627,364108780,364513668,362145008,360792612,361309144,362976885,358700195,363723728,363762911,357539513,360037719,362717760,359131224,362481684,357321644,358351374,361352483,364691230,361331906,366692510,360161844,362287892,362125972,367531549,365203764,364053765,360795228,360361137,364082861,365377288,362840938,363503064,361276726,360078757,365577293,367656908,363460230,362751004,361461364,360887858,363471909,362488361,362399618,363940662,361306334,360094886,367284484,361112166,358023742,358991734,357630346,357904092,365384986,360032798,361713152,363321366,360307193,359798952
50,429360454,435551646,424197894,424694436,424892121,427913324,420114498,421621892,420388502,420729894,425657378,421954790,420352904,421318504,416858320,424789834,421617762,420089368,419832884,422254410,425219080,420035604,418452117,422994643,425228493,437017266,431078631,421029061,419579141,426745957,431708032,422144465,421309108,424416361,446363242,432597464,425160882,426597543,418632728,422234778,425648252,420335408,421854946,422207992,423912401,429455369,419430712,422501407,423926194,427331832,430945176,426917076,425729662,426756462,424412200,434176384,422364020,429452184,424153798,424869822
40,485224766,475531223,474799622,474427462,479377636,475668134,474458382,476168411,486449476,495181638,481391042,489198302,503495272,502744441,499402385,503749495,505440196,504446860,501304186,499577122,499272736,504843924,501376107,504796048,505647148,502730493,505279114,484541958,480423724,479364304,481610316,478464058,480303872,482162045,481699789,476877510,478274730,482453842,485439126,485735120,481554790,482154316,480833198,486559636,482765556,481621370,482954190,477887907,481338566,478573592,480685044,489573661,482953771,477589984,480227006,480627728,480055511,483080336,484777642,480745022
30,525699574,537319340,526596682,527613006,526211401,530922186,524026575,538970948,546281282,539433503,523183375,530941736,535214268,534070188,525367138,529024936,533175790,539087828,526457375,524654070,527432318,531174578,529013647,528916968,527412142,530441024,531698364,550780286,534738110,531941710,531958764,526421382,528792394,533520922,527525292,527750226,530094767,528885608,527322182,526980364,529686841,533996764,535265568,524876337,533986361,528000913,527264088,528771384,525826699,531407136,527590862,529837874,531403388,531936950,534438626,553247218,528768648,538678896,527817514,552509252
20,580034586,577439106,568973563,576423470,581050554,575628520,580328620,599276511,605181008,605734200,607808170,604754270,595986073,600342487,603844640,609615940,601437514,602802286,604612136,601934302,575728890,573812678,579019080,574870070,573060708,574611862,576337018,575556990,576787356,577117864,572922448,577218116,573361232,577744187,578818218,579180952,583858900,601574672,605390650,622611806,626798955,619590749,622933526,622907207,627790318,626219594,622503741,626250650,612741884,575425122,577617756,583508010,576719885,574393036,578455964,577361048,575286320,575361017,577860962,577364254
10,657316430,657566128,664791507,652727516,651746242,665719928,659424774,656081590,653452544,654937572,650834180,654115966,654431716,652179504,650599218,657404888,652722294,650326616,655152793,659932540,657599589,654865155,657746049,652249664,656450648,652192540,653552176,651032698,655762218,652943622,651439878,657695608,654219136,651271740,659029354,652886681,660133800,668028538,664903202,654609100,655544762,670636225,684906800,680288355,654417637,659705188,656131164,654715918,651155684,654996702,674212206,651941568,649675516,654367564,660014522,648615506,654379994,657207092,647588247,656739430

writeBackAll = 0
