100,88704,109744,72686,149316,165110,85342,81754,99400,91252,119822
90,193382380,172442406,191573972,170591732,174923110,160185144,147963622,153147949,149967950,154018886
80,286917797,281056299,271436538,270153115,277684235,272676380,270684197,274640958,281266413,267469228
70,400981118,390213050,388999721,387729634,402086619,389367502,384146550,379800466,386262149,403256000
60,488966009,487017474,481861202,495916262,595935442,481747137,491016914,500819341,487997256,487468687
50,586329690,586474625,571204830,570169501,574339813,571174058,566017038,567051935,573201471,562908680
40,650034905,639495686,760453396,660022896,633097978,648168602,634545814,637578039,659981552,644944518
30,715827139,710349609,708766800,709740845,698009574,721029311,694850180,788552593,709074712,710726642
20,774661211,774265691,777796473,761020672,759152795,770775347,757073584,761835398,789820618,764902724
10,960564982,873344224,878580240,871492302,868364292,908036890,876994654,882898878,855948544,881838496

writeBackAll1
